date,state,predicted_count,type
2029-02-28,Rajasthan,156.22705,forecast
2029-03-31,Rajasthan,159.6626,forecast
2029-04-30,Rajasthan,152.05139,forecast
2029-05-31,Rajasthan,149.67487,forecast
2029-06-30,Rajasthan,144.19423,forecast
2029-07-31,Rajasthan,147.153,forecast
2029-08-31,Rajasthan,149.65582,forecast
2029-09-30,Rajasthan,150.59799,forecast
2029-10-31,Rajasthan,150.4998,forecast
2029-11-30,Rajasthan,149.601,forecast
2029-12-31,Rajasthan,154.9047,forecast
2030-01-31,Rajasthan,155.79698,forecast
2030-02-28,Rajasthan,156.22705,forecast
2030-03-31,Rajasthan,159.6626,forecast
2030-04-30,Rajasthan,152.05139,forecast
2030-05-31,Rajasthan,149.67487,forecast
2030-06-30,Rajasthan,145.04973,forecast
2030-07-31,Rajasthan,147.153,forecast
2030-08-31,Rajasthan,149.65582,forecast
2030-09-30,Rajasthan,151.94086,forecast
2030-10-31,Rajasthan,153.35413,forecast
2030-11-30,Rajasthan,151.92313,forecast
2030-12-31,Rajasthan,148.75232,forecast
2026-01-31,Karnataka,208.08139,forecast
2026-02-28,Karnataka,239.12956,forecast
2026-03-31,Karnataka,231.13742,forecast
2026-04-30,Karnataka,251.09732,forecast
2026-05-31,Karnataka,250.9997,forecast
2026-06-30,Karnataka,248.4263,forecast
2026-07-31,Karnataka,212.32945,forecast
2026-08-31,Karnataka,219.50984,forecast
2026-09-30,Karnataka,219.91092,forecast
2026-10-31,Karnataka,223.39946,forecast
2026-11-30,Karnataka,223.39946,forecast
2026-12-31,Karnataka,189.33002,forecast
2027-01-31,Karnataka,221.97333,forecast
2027-02-28,Karnataka,227.16103,forecast
2027-03-31,Karnataka,223.68471,forecast
2027-04-30,Karnataka,224.62474,forecast
2027-05-31,Karnataka,219.02518,forecast
2027-06-30,Karnataka,198.65172,forecast
2027-07-31,Karnataka,224.66046,forecast
2027-08-31,Karnataka,229.03212,forecast
2027-09-30,Karnataka,224.08253,forecast
2027-10-31,Karnataka,226.00163,forecast
2027-11-30,Karnataka,213.75449,forecast
2027-12-31,Karnataka,179.74133,forecast
2028-01-31,Karnataka,222.14932,forecast
2028-02-29,Karnataka,227.44846,forecast
2028-03-31,Karnataka,224.50323,forecast
2028-04-30,Karnataka,224.62474,forecast
2028-05-31,Karnataka,213.48125,forecast
2028-06-30,Karnataka,201.52837,forecast
2028-07-31,Karnataka,222.33263,forecast
2028-08-31,Karnataka,229.03212,forecast
2028-09-30,Karnataka,224.08253,forecast
2028-10-31,Karnataka,226.00163,forecast
2028-11-30,Karnataka,209.457,forecast
2028-12-31,Karnataka,179.46747,forecast
2029-01-31,Karnataka,222.14932,forecast
2029-02-28,Karnataka,227.63054,forecast
2029-03-31,Karnataka,224.50323,forecast
2029-04-30,Karnataka,224.62474,forecast
2029-05-31,Karnataka,213.48125,forecast
2029-06-30,Karnataka,201.52837,forecast
2029-07-31,Karnataka,222.33263,forecast
2029-08-31,Karnataka,229.03212,forecast
2029-09-30,Karnataka,224.08253,forecast
2029-10-31,Karnataka,226.00163,forecast
2029-11-30,Karnataka,209.457,forecast
2029-12-31,Karnataka,179.46747,forecast
2030-01-31,Karnataka,222.14932,forecast
2030-02-28,Karnataka,227.63054,forecast
2030-03-31,Karnataka,224.50323,forecast
2030-04-30,Karnataka,224.62474,forecast
2030-05-31,Karnataka,213.48125,forecast
2030-06-30,Karnataka,201.52837,forecast
2030-07-31,Karnataka,222.33263,forecast
2030-08-31,Karnataka,229.03212,forecast
2030-09-30,Karnataka,224.08253,forecast
2030-10-31,Karnataka,226.00163,forecast
2030-11-30,Karnataka,209.457,forecast
